Fabada asturiana,Modified Question,Answer,entities,
,Would it have been possible for Amin al-Din Balyani to speak to someone 100 miles away?,FALSE,Amin al-Din Balyani (Q5937301),
,Would it have been possible for Maudood Chishti to speak to someone 100 miles away?,FALSE,Maudood Chishti (Q6792338),
S5,Was the predecessor of Ulf Kristersson in the position of Prime Minister a woman?,TRUE,,
,Was the predecessor of Abdallah El-Yafi in the position of Prime Minister a man?,TRUE,Abdallah El-Yafi (Q317580),
,Was the predecessor of Alfred Naqqache in the position of Prime Minister a man?,TRUE,Alfred Naqqache (Q887821),
,Was the predecessor of Ayoub Tabet in the position of Prime Minister a Man?,TRUE,Ayoub Tabet (Q793339),
,Was the predecessor of Bechara El Khoury in the position of Prime Minister a man?,TRUE,Bechara El Khoury (Q543316),
,Was the predecessor of Najib Mikati in the position of Prime Minister a man?,TRUE,ajib Mikati (Q318493),
,Was the predecessor of Auguste Adib Pacha in the position of Prime Minister a man?,TRUE,Auguste Adib Pacha (Q766066),
,Was the predecessor of Fouad Siniora in the position of Prime Minister a man?,TRUE,Fouad Siniora (Q314263),
,Was the predecessor of Hassan Diab in the position of Prime Minister a man?,TRUE,Hassan Diab (Q5679624),
,Was the predecessor of Petro Trad in the position of Prime Minister a man?,TRUE,Petro Trad (Q889126),
,Was the predecessor of Salim al-Huss in the position of Prime Minister a man?,TRUE,Salim al-Huss (Q2094707),
S6,Does the animal that is Miriam Rodon Naveira's university mascot eat kibble?,TRUE,,
,Does the animal that is Sudiptho Paul's university mascot eat kibble?,TRUE,Sudiptho Paul (Q87592242),
,Does the animal that is Robert N Buschmann's university mascot eat kibble?,TRUE,Robert N Buschmann (Q89266106),
,Does the animal that is Xupeng Hong's university mascot eat kibble?,TRUE,Xupeng Hong (Q87897442),
,Does the animal that is Stephen Devito's university mascot eat kibble?,TRUE,Stephen Devito (Q86655651),
,Does the animal that is David L Keefe's university mascot eat kibble?,TRUE,David L Keefe (Q88267779),
,Does the animal that is Ryan Callahan's university mascot eat kibble?,TRUE,Ryan Callahan (Q96034322),
,Does the animal that is Darnell J Brown's university mascot eat kibble?,TRUE,Darnell J Brown (Q83374270),
,Does the animal that is Joshua Khani's university mascot eat kibble?,TRUE,Joshua Khani (Q59750776),
,Does the animal that is Akilah Jefferson's university mascot eat kibble?,TRUE,Akilah Jefferson (Q86939452),
,Does the animal that is Sugy Choi's university mascot eat kibble?,TRUE,Sugy Choi (Q57434846),
S7,Was the 2012 United States presidential election a bigger landslide than the one in 2008?,FALSE,,
,Was the 2022 Mato Grosso do Sul gubernatorial election a bigger landslide than the 2009 Iranian presidential election?,FALSE,"2022 Mato Grosso do Sul gubernatorial election (Q113353028), 2009 Iranian presidential election (Q143304)",
,Was the 2022 Mato Grosso do Sul gubernatorial election a bigger landslide than the 2012 United States presidential election?,FALSE,"2022 Mato Grosso do Sul gubernatorial election (Q113353028), 2012 United States presidential election",
,Was the 2009 Iranian presidential election a bigger landslide than the 2012 United States presidential election?,FALSE,"2009 Iranian presidential election (Q143304), 2012 United States presidential election",
,Was the 2012 South Korean presidential election a bigger landslide than the 2017 South Korean presidential election?,FALSE,"2012 South Korean presidential election (Q82241), 2017 South Korean presidential election (Q5518652)",
,Was the 2012 South Korean presidential election a bigger landslide than the 2009 Iranian presidential election?,FALSE,"2012 South Korean presidential election (Q82241), 2009 Iranian presidential election (Q143304)",
,Was the 2012 South Korean presidential election a bigger landslide than the 2012 United States presidential election?,FALSE,"2012 South Korean presidential election (Q82241),  2012 United States presidential election (Q4226)",
,Was the 2002 South Korean presidential election a bigger landslide than the 2017 South Korean presidential election?,FALSE,"2002 South Korean presidential election (Q421753), 2017 South Korean presidential election (Q5518652)",
,Was the 1997 South Korean presidential election a bigger landslide than the 2017 South Korean presidential election?,FALSE,"1997 South Korean presidential election (Q421762), 2017 South Korean presidential election (Q5518652)",
,Was the 1971 South Korean presidential election a bigger landslide than the 2017 South Korean presidential election?,FALSE,"1971 South Korean presidential election (Q286545), 2017 South Korean presidential election (Q5518652)",
,Was the 1987 South Korean presidential election a bigger landslide than the 2017 South Korean presidential election?,FALSE,"1987 South Korean presidential election (Q334745), 2017 South Korean presidential election (Q5518652)",
S8,Will the director of Kung Fu Panda 4 be a quadragenarian in 2024?,FALSE,,
,Will the director of Kamalolmolk be a quadragenarian in 2024?,FALSE,Kamalolmolk (Q3030235),
,Will the director of Del Shodegan be a quadragenarian in 2024?,FALSE,Del Shodegan (Q3021408),
,Will the director of Soltan-e Sahebgharan be a quadragenarian in 2024?,FALSE,Soltan-e Sahebgharan (Q5963065),
,Will the director of The Suitor be a quadragenarian in 2024?,FALSE,The Suitor (Q5741660),
,Will the director of Ghalandar be a quadragenarian in 2024?,FALSE,Ghalandar (Q5834055),
,Will the director of Wood Pigeon be a quadragenarian in 2024?,FALSE,Wood Pigeon (Q5950260),
,Will the director of Sattar Khan be a quadragenarian in 2024?,FALSE,Sattar Khan (Q5733039),
,Will the director of Baba Shamal be a quadragenarian in 2024?,FALSE,Baba Shamal (Q5860428),
,Will the director of Hezardastan be a quadragenarian in 2024?,FALSE,Hezardastan (Q3135109),
,Will the director of Hajji Washington be a quadragenarian in 2024?,FALSE,Hajji Washington (Q3125816),
S9,Can you watch all of Ted Lasso in six months?,TRUE,,
,Can you watch all of Maria-sama ga Miteru in six months?,TRUE,Maria-sama ga Miteru (Q17210186),
,Can you watch all of Tillbaka till Vintergatan in six months?,TRUE,Tillbaka till Vintergatan (Q10697945),
,Can you watch all of Fantômette in six months?,TRUE,Fantômette (Q3066671),
,Can you watch all of Aoashi in six months?,TRUE,Aoashi (Q112299509),
,Can you watch all of Aho-Girl in six months?,TRUE,Aho-Girl (Q115813444),
,Can you watch all of Burst Angel in six months?,TRUE,Burst Angel (Q1284240),
,Can you watch all of Alix in six months?,TRUE,Alix (Q2837256),
,Can you watch all of Oshi no Ko in six months?,TRUE,Oshi no Ko (Q112305523),
,Can you watch all of Ein ehrenwertes Haus in six months?,TRUE,Ein ehrenwertes Haus (Q1305442),
,Can you watch all of Razzledazzle in six months?,TRUE,Razzledazzle (Q7299697),
S10,Would The Tinker Tailor Soldier Spy be an appropriate film to show in a preschool class?,FALSE,,
,Would Everybody Wants Some!! be an appropriate film to show in a preschool class?,FALSE,Everybody Wants Some!! (Q18324869),
,Would The French Dispatch be an appropriate film to show in a preschool class?,FALSE,The French Dispatch (Q59551547),
,Would Land of Bad be an appropriate film to show in a preschool class?,FALSE,Land of Bad (Q117176605),
,Would Anyone but You be an appropriate film to show in a preschool class?,FALSE,Anyone but You (Q118405167),
,Would Miller's Girl be an appropriate film to show in a preschool class?,FALSE,Miller's Girl (Q116027468),
,Would Alien: Romulus be an appropriate film to show in a preschool class?,FALSE,Alien: Romulus (Q115932544),
,Would Hunter Killer be an appropriate film to show in a preschool class?,FALSE,Hunter Killer (Q27888483),
,Would The Lincoln Lawyer be an appropriate film to show in a preschool class?,FALSE,The Lincoln Lawyer (Q287748),
,Would Mary Queen of Scots be an appropriate film to show in a preschool class?,FALSE,Mary Queen of Scots (Q37909408),
,Would Julieta be an appropriate film to show in a preschool class?,FALSE,Julieta (Q20026867),
S11,Is the author of Tartarin of Tarascon buried in the same cemetery as Georges Rodenbach?,TRUE,,
,Is Gholamreza Takhti buried in the same cemetery as Fahr-Ozma Arghun?,TRUE,"Gholamreza Takhti (Q648986), Fahr-Ozma Arghun (Q5954901)",
,Is Mahvash buried in the same cemetery as Fahr-Ozma Arghun?,TRUE,"Mahvash (Q5956832), Fahr-Ozma Arghun (Q5954901)",
,Is Mohammad Ali Foroughi buried in the same cemetery as Fahr-Ozma Arghun?,TRUE,"Mohammad Ali Foroughi (Q181451), Fahr-Ozma Arghun (Q5954901)",
,Is Ebrahim Hakimi buried in the same cemetery as Fahr-Ozma Arghun?,TRUE,"Ebrahim Hakimi (Q722455), Fahr-Ozma Arghun (Q5954901)",
,Is Ahmad Hashemi buried in the same cemetery as Fahr-Ozma Arghun?,TRUE,"Ahmad Hashemi (Q5913540), Fahr-Ozma Arghun (Q5954901)",
,Is Ahmad Hashemi buried in the same cemetery as Ebrahim Hakimi?,TRUE,"Ahmad Hashemi (Q5913540), Ebrahim Hakimi (Q722455)",
,Is Abdullah Moazzami buried in the same cemetery as Ebrahim Hakimi?,TRUE,"Abdullah Moazzami (Q29603571), Ebrahim Hakimi (Q722455)",
,Is Ebrahim Hakimi buried in the same cemetery as Mohammad Ali Foroughi?,TRUE,"Ebrahim Hakimi (Q722455),Mohammad Ali Foroughi (Q181451)",
,Is Mirzadeh Eshghi buried in the same cemetery as Mohammad Ali Foroughi?,TRUE,"Mirzadeh Eshghi (Q3574805), Mohammad Ali Foroughi (Q181451)",
,Is Mirzadeh Eshghi buried in the same cemetery as Parkhide?,TRUE,"Mirzadeh Eshghi (Q3574805), Parkhide (Q5885728)",
S12,Could Soleiman Eskandari have listened to the Nasime Vasl album?,FALSE,,
,Could Ebrahim Hakimi have listened to the Jan be Rang-e-Narenj album?,FALSE,"Ebrahim Hakimi (Q722455),Jan be Rang-e-Narenj (Q56358976)",
,Could Ebrahim Hakimi have listened to the Mahe Gharib album?,FALSE,"Ebrahim Hakimi (Q722455),Mahe Gharib (Q56359008)",
,Could Ebrahim Hakimi have listened to the The Tsunami of Love album?,FALSE,"Ebrahim Hakimi (Q722455), The Tsunami of Love (Q56359032)",
,Could Ebrahim Hakimi have listened to the Emshab Kenar-e Gh,FALSE,"Ebrahim Hakimi (Q722455), Emshab Kenar-e Ghazalhaye Man Bekhab (Q56360309)",
,Could Ebrahim Hakimi have listened to the Mad O Nay album?,FALSE,"Ebrahim Hakimi (Q722455), Mad O Nay (Q61064808)",
,Could Abdullah Moazzami have listened to the Jan be Rang-e-Narenj album?,FALSE,"Abdullah Moazzami (Q29603571,Jan be Rang-e-Narenj (Q56358976)",
,Could Abdullah Moazzami have listened to the Mahe Gharib album?,FALSE,"Abdullah Moazzami (Q29603571,Mahe Gharib (Q56359008)",
,Could Abdullah Moazzami have listened to the The Tsunami of Love album?,FALSE,"Abdullah Moazzami (Q29603571), The Tsunami of Love (Q56359032)",
,Could Mirzadeh Eshghi have listened to the Emshab Kenar,FALSE,"Mirzadeh Eshghi (Q3574805), Emshab Kenar-e Ghazalhaye Man Bekhab (Q56360309)",
,Could Mirzadeh Eshghi have listened to the Mad O Nay album?,FALSE,"Mirzadeh Eshghi (Q3574805), Mad O Nay (Q61064808)",
S13,Could someone in Vaughan take a taxi to the Jamjuree Art Gallery?,FALSE,,
,Could someone in Vaughan take a taxi to the Azure Way Museum?,FALSE,Azure Way Museum (Q116109926),
,Could someone in Vaughan take a taxi to the Golestan Gallery?,FALSE,Golestan Gallery (Q119082225),
,Could someone in Vaughan take a taxi to the Golestan Gallery?,FALSE,Museum of the Islamic Era (Q5607574),
,Could someone in Vaughan take a taxi to the Treasury of National Jewels?,FALSE,Treasury of National Jewels (Q5949273),
,Could someone in Vaughan take a taxi to the Misis Mosaic Museum?,FALSE,Misis Mosaic Museum (Q6875685),
,Could someone in Vaughan take a taxi to the Ephesus Archaeological Museum?,FALSE,Ephesus Archaeological Museum (Q1346784),
,Could someone in Vaughan take a taxi to the Gazi University Painting and Sculpture Museum?,FALSE,Gazi University Painting and Sculpture Museum (Q6041899),
,Could someone in Vaughan take a taxi to the Malatya Museum?,FALSE,Malatya Museum (Q18410359),
,Could someone in Vaughan take a taxi to the Mersin Museum?,FALSE,Mersin Museum (Q6820610),
,Could someone in Vaughan take a taxi to the Garanti Gallery?,FALSE,Garanti Gallery (Q5521936),
S14,Could a local fan of the Botany Swarm vote for John Key?,FALSE,,
,Could a local fan of the Botany Swarm vote for Catherine Connolly?,FALSE,Catherine Connolly (Q5052598),
,Could a local fan of the Botany Swarm vote for Tommy Broughan?,FALSE,Tommy Broughan (Q3777456),
,Could a local fan of the Botany Swarm vote for Garret FitzGerald?,FALSE,Garret FitzGerald (Q1425313),
,Could a local fan of the Botany Swarm vote for Barry Andrews?,FALSE,Barry Andrews (Q3777503),
,Could a local fan of the Botany Swarm vote for Tom Maguire?,FALSE,Tom Maguire (Q3530783),
,Could a local fan of the Botany Swarm vote for John O'Connell?,FALSE,John O'Connell (Q3809512),
,Could a local fan of the Botany Swarm vote for Michael Enright?,FALSE,Michael Enright (Q6830133),
,Could a local fan of the Botany Swarm vote for Patrick Lindsay?,FALSE,Patrick Lindsay (Q1280533),
,Could a local fan of the Botany Swarm vote for Frank Daly?,FALSE,Frank Daly (Q1441563),
,Could a local fan of the Botany Swarm vote for Matthew Davis?,FALSE,Matthew Davis (Q6790389),
S15,Was Fantastic Beasts: The Secrets of Dumbledore solvent?,TRUE,,
,Was The Hunt for Red October solvent?,TRUE,The Hunt for Red October (Q507994),
,Was Total Recall solvent?,TRUE,Total Recall (Q222018),
,Was 30 Minutes or Less solvent?,TRUE,30 Minutes or Less (Q224133),
,Was Si Vis Pacem,TRUE,"Si Vis Pacem, Para Bellum (Q24718779)",
,Was Gli Squallor solvent?,TRUE,Gli Squallor (Q27901846),
,Was Maria Montessori solvent?,TRUE,Maria Montessori (Q123738413),
,Was Notre-Dame on Fire solvent?,TRUE,Notre-Dame on Fire (Q106489375),
,Was Gosford Park solvent?,TRUE,Gosford Park (Q165392),
,Was Boulevard du Rhum solvent?,TRUE,Boulevard du Rhum (Q2922080),
,Was Santa Sangre solvent?,TRUE,Santa Sangre (Q612035),
S16,Did Dariush Homayoon have greater longevity than Bozorg Alavi?,FALSE,,
,Did Ebrahim Hakimi have greater longevity than Dariush Homayoon?,FALSE,Ebrahim Hakimi (Q722455),
,Did Abdullah Moazzami have greater longevity than Dariush Homayoon?,FALSE,Abdullah Moazzami (Q29603571),
,Did Hosein Alam-alhoda have greater longevity than Bozorg Alavi?,FALSE,Hosein Alam-alhoda (Q18810848),
,Did Masoud Ahmadzadeh have greater longevity than Bozorg Alavi?,FALSE,Masoud Ahmadzadeh (Q22003025),
,Did Abdol-Hamid Diyalameh have greater longevity than Bozorg Alavi?,FALSE,Abdol-Hamid Diyalameh (Q5953351),
,Did Valiullah Faiz Mahdavi have greater longevity than Dariush Homayoon?,FALSE,Valiullah Faiz Mahdavi (Q6600970),
,Did Valiullah Faiz Mahdavi have greater longevity than Bozorg Alavi?,FALSE,Valiullah Faiz Mahdavi (Q6600970),
,Did Abol Fath Khan have greater longevity than Bozorg Alavi?,FALSE,Abol Fath Khan (Q60164),
,Did Taghi Shahram have greater longevity than Bozorg Alavi?,FALSE,Taghi Shahram (Q5964642),
,Did Taghi Shahram have greater longevity than Dariush Homayoon?,FALSE,Taghi Shahram (Q5964642),
S17,Could Pippa Middleton's children play monkey in the middle amongst themselves?,TRUE,,
,Could Mordechai Eliyahu's children play monkey in the middle amongst themselves?,TRUE,Mordechai Eliyahu (Q248943),
,Could Shahnaz Pahlavi's children play monkey in the middle amongst themselves?,TRUE,Shahnaz Pahlavi (Q256878),
,Could Hisham Sharbatji's children play monkey in the middle amongst themselves?,TRUE,Hisham Sharbatji (Q12249963),
,Could Federico Errázuriz Zañartu's children play monkey in the middle amongst themselves?,TRUE,Federico Errázuriz Zañartu (Q1326),
,Could Shahnaz Haque's children play monkey in the middle amongst themselves?,TRUE,Shahnaz Haque (Q12514080),
,Could Hasan Helimişi's children play monkey in the middle amongst themselves?,TRUE,Hasan Helimişi (Q12871687),
,Could Chennamaneni Vidyasagar Rao's children play monkey in the middle amongst themselves?,TRUE,Chennamaneni Vidyasagar Rao (Q13631996),
,Could Harri Syrjänen's children play monkey in the middle amongst themselves?,TRUE,Harri Syrjänen (Q14624881),
,Could Patrizia Paoletti Tangheroni's children play monkey in the middle amongst themselves?,TRUE,Patrizia Paoletti Tangheroni (Q15303869),
,Could Laura Maddaloni's children play monkey in the middle amongst themselves?,TRUE,Laura Maddaloni (Q15290632),
S18,Was the 2022 South Korean presidential election won by a member of the People Power Party,TRUE,,
,Was the 2017 South Korean presidential election won by a member of the Democratic Party of Korea?,TRUE,Democratic Party of Korea (Q15978686),
,Was the 2017 South Korean presidential election won by a member of the Democratic Party of Korea?,TRUE,,
,Was the 1981 South Korean presidential election won by a member of the Democratic Justice Party?,TRUE,Democratic Justice Party (Q489162),
,Was the 1979 South Korean presidential election won by a member of the Democratic-Republican Party?,TRUE,Democratic-Republican Party (Q483127),
,Was the 1992 South Korean presidential election won by a member of the New Korea Party?,TRUE,New Korea Party (Q7009697),
,Was the 1948 South Korean presidential election won by a member of the Liberal Party?,TRUE,Liberal Party (Q497541),
,Was the 1963 South Korean presidential election won by a member of the Democratic-Republican Party?,TRUE,Democratic-Republican Party (Q483127),
,Was the 2007 South Korean presidential election won by a member of the Liberty Korea Party?,TRUE,Liberty Korea Party (Q20916),
,Was the 1963 South Korean presidential election won by a member of the Democratic-Republican Party?,TRUE,Democratic-Republican Party (Q483127),
,Was the 1952 South Korean presidential election won by a member of the Liberal Party?,TRUE,Liberal Party (Q497541),
,Was the 1980 South Korean presidential election won by a member of the Democratic Justice Party?,TRUE,Democratic Justice Party (Q489162),
,Was the 1972 South Korean presidential election won by a member of the Democratic-Republican Party?,TRUE,Democratic-Republican Party (Q483127),
S19,Is the It's Hyorish an older album than Nasime vasl?,FALSE,,
,Is the It's Hyorish an older album than Click-B 1st?,FALSE,Click-B 1st (Q55736436),
,Is the It's Hyorish an older album than For The People?,FALSE,For The People (Q12581070),
,Is the It's Hyorish an older album than Lucid Fall?,FALSE,Lucid Fall (Q12581473),
,Is the It's Hyorish an older album than The Magic of 8 Ball?,FALSE,The Magic of 8 Ball (Q20444297),
,Is the It's Hyorish an older album than YⅡK?,FALSE,YⅡK (Q97237247),
,Is the It's Hyorish an older album than Best of Panic?,FALSE,Best of Panic (Q16165355),
,Is the It's Hyorish an older album than The memory of RAGNAROK?,FALSE,The memory of RAGNAROK (Q18647269),
,Is the It's Hyorish an older album than 4ever Feel So Good?,FALSE,4ever Feel So Good (Q109458462),
,Is the It's Hyorish an older album than Seo Ji Won Best?,FALSE,Seo Ji Won Best (Q109458551),
,Is the It's Hyorish an older album than Jinusean Bomb?,FALSE,Jinusean Bomb (Q110113913),
S20,Does Toyoharu Tsutsui's alma mater have more history than New Foundland and Labrador?,TRUE,,
,Does Tetsuji Shibayama's alma mater have more history than New Foundland and Labrador?,TRUE,Tetsuji Shibayama (Q52376764),
,Does Makoto Noborisaka's alma mater have more history than New Foundland and Labrador?,TRUE,Makoto Noborisaka (Q63890954),
,Does Ryōsuke Takashima's alma mater have more history than New Foundland and Labrador?,TRUE,Ryōsuke Takashima (Q117834570),
,Does Tohru Fukuyama's alma mater have more history than New Foundland and Labrador?,TRUE,Tohru Fukuyama (Q1057268),
,Does Hiroshi Katō's alma mater have more history than New Foundland and Labrador?,TRUE,Hiroshi Katō (Q11399153),
,Does Seisaku Fukamizu's alma mater have more history than New Foundland and Labrador?,TRUE,Seisaku Fukamizu (Q108840199),
,Does Kojiro Nakamura's alma mater have more history than New Foundland and Labrador?,TRUE,Kojiro Nakamura (Q16730966),
,Does Fumio Hayashi's alma mater have more history than New Foundland and Labrador?,TRUE,Fumio Hayashi (Q5508587),
,Does Shin'ichi Yoshida's alma mater have more history than New Foundland and Labrador?,TRUE,Shin'ichi Yoshida (Q21703012),
,Does Kenji Fuma's alma mater have more history than New Foundland and Labrador?,TRUE,Kenji Fuma (Q105258534),
S21,Does Diane von Fürstenberg have citizenship in the country where Astrid Whettnall's mother is from?,FALSE,,
,Does Laurent Roosens have citizenship in the country where Astrid Whettnall's mother is from?,FALSE,Laurent Roosens (Q104385925),
,Does Luc Verschaeve have citizenship in the country where Astrid Whettnall's mother is from?,FALSE,Luc Verschaeve (Q115787322),
,Does Marc Lacroix have citizenship in the country where Astrid Whettnall's mother is from?,FALSE,Marc Lacroix (Q6755679),
,Does Ernest Solvay have citizenship in the country where Astrid Whettnall's mother is from?,FALSE,Ernest Solvay (Q311665),
,Does Jean-Pierre Lecocq have citizenship in the country where Astrid Whettnall's mother is from?,FALSE,Jean-Pierre Lecocq (Q734552),
,Does Marcel Florkin have citizenship in the country where Astrid Whettnall's mother is from?,FALSE,Marcel Florkin (Q901352),
,Does Francis Édeline have citizenship in the country where Astrid Whettnall's mother is from?,FALSE,Francis Édeline (Q3081751),
,Does Hugo Van Heuverswyn have citizenship in the country where Astrid Whettnall's mother is from?,FALSE,Hugo Van Heuverswyn (Q5934562),
,Does Christian de Duve have citizenship in the country where Astrid Whettnall's mother is from?,FALSE,Christian de Duve (Q234590),
,Does Jean Servais Stas have citizenship in the country where Astrid Whettnall's mother is from?,FALSE,Jean Servais Stas (Q560706),
S22,Is 3D printing able to make Oliverpabstia ?,FALSE,,
,Is 3D printing able to make Porcincola ?,FALSE,Porcincola (Q113527668),
,Is 3D printing able to make Alkalilacustris ?,FALSE,Alkalilacustris (Q111165836),
,Is 3D printing able to make Acidimangrovimonas ?,FALSE,Acidimangrovimonas (Q111167985),
,Is 3D printing able to make Suipraeoptans ?,FALSE,Suipraeoptans (Q113527805),
,Is 3D printing able to make Antarcticimicrobium?,FALSE,Antarcticimicrobium (Q111165845),
,Is 3D printing able to make Jinshanibacter ?,FALSE,Jinshanibacter (Q121303212),
,Is 3D printing able to make Actinophage ?,FALSE,Actinophage (Q4676985),
,Is 3D printing able to make Psychrobacter pocilloporae?,FALSE,Psychrobacter pocilloporae (Q34530619),
,Is 3D printing able to make Paraburkholderia madseniana?,FALSE,Paraburkholderia madseniana (Q102145852),
,Is 3D printing able to make Velocimicrobium?,FALSE,Velocimicrobium (Q113527926),
S23,Is watching Coach Carter necessary to know who Ken Carter is?,FALSE,,
,Is watching October Sky necessary to know who Homer Hickam is?,FALSE,"October Sky (Q1141420), Homer Hickam (Q1626025)",
,Is watching Letters from Iwo Jima necessary to know who Tadamichi Kuribayashi is?,FALSE,"Letters from Iwo Jima (Q275187), Tadamichi Kuribayashi (Q297013)",
,Is watching Munich necessary to know who Juval Aviv is?,FALSE,"Munich (Q152456), Juval Aviv (Q6318856)",
,Is watching Black Hawk Down necessary to know who Matthew Eversmann is?,FALSE,"Black Hawk Down (Q221384), Matthew Eversmann (Q78352233)",
,Is watching Charlie Wilson's War necessary to know who Gust Avrakotos is?,FALSE,"Charlie Wilson's War (Q273568), Gust Avrakotos (Q438659)",
,Is watching The Battle of Algiers necessary to know who Ali La Pointe is?,FALSE,"The Battle of Algiers (Q784812), Ali La Pointe (Q2429767)",
,Is watching Coach Carter necessary to know who Ken Carter is?,FALSE,"Hotel Rwanda (Q223884), Roméo Dallaire (Q355188)",
,Is watching Sissi  necessary to know who Karl Ludwig von Grünne is?,FALSE,"Sissi (Q697501), Karl Ludwig von Grünne (Q88353)",
,Is watching Hotel Rwanda necessary to know who Augustin Bizimungu is?,FALSE,"Hotel Rwanda (Q223884), Augustin Bizimungu (Q590025)",
,Is watching Hotel Rwanda necessary to know who Georges Rutaganda is?,FALSE,"Hotel Rwanda (Q223884), Georges Rutaganda (Q327037)",
S24,If someone loves Fesenjān do they enjoy pomegranate juice?,TRUE,,
,If someone loves Sombe do they enjoy fish?,TRUE,Sombe (Q124448968),
,If someone loves bollito misto do they enjoy beef?,TRUE,bollito misto (Q733196),
,If someone loves bozbash do they enjoy lamb meat?,TRUE,bozbash (Q4090235),
,If someone loves salteña do they enjoy dough?,TRUE,salteña (Q980388),
,If someone loves salteña do they enjoy gelatin?,TRUE,salteña (Q980388),
