ID,Modified Question,Answer,
,Zionism emerged before Sarasa Kadowaki was born.,TRUE,Sarasa Kadowaki (Q11604692)
C5,Nelson Dock Retaining Wall no longer exists.,FALSE,
,Garden Wall South Of Marsh Farmhouse no longer exists.,FALSE,Garden Wall South Of Marsh Farmhouse (Q26432442)
,Garden Wall At Roadnook Farm no longer exists.,FALSE,Garden Wall At Roadnook Farm (Q26452753)
,Front Garden Walls no longer exists.,FALSE,Front Garden Walls (Q26454176)
,Wall Approx 30 Metres To South East Of Golden Manor no longer exists.,FALSE,Wall Approx 30 Metres To South East Of Golden Manor (Q26454285)
,Walls To Stables To Prior's Gate no longer exists.,FALSE,Walls To Stables To Prior's Gate (Q26455138)
,Wall Adjoining North West Of Outbuilding no longer exists.,FALSE,Wall Adjoining North West Of Outbuilding (Q26456136)
,"Walls Of Rose Garden, Nashdom Abbey no longer exists.",FALSE,"Walls Of Rose Garden, Nashdom Abbey (Q26455661)"
,Garden Wall To North West Of Thriplow Bury no longer exists.,FALSE,Garden Wall To North West Of Thriplow Bury (Q26459025)
,Wall And Railings Adjoining The Rectory Farmhouse no longer exists.,FALSE,Wall And Railings Adjoining The Rectory (Q26460432)
,Cob Wall no longer exists.,FALSE,Cob Wall (Q26469557)
C6,Salvador Novo published books that focused on evolutionary biology.,FALSE,
,Rino Furuichi published books that focused on evolutionary biology.,FALSE,Rino Furuichi (Q115228030)
,Nana Nagayama published books that focused on evolutionary biology.,FALSE,Nana Nagayama (Q11550017)
,Takumi Wada published books that focused on evolutionary biology.,FALSE,Takumi Wada (Q1092705)
,Yūya Satō published books that focused on evolutionary biology.,FALSE,Yūya Satō (Q60230297)
,Riku Ichikawa published books that focused on evolutionary biology.,FALSE,Riku Ichikawa (Q9133421)
,Haruhi Nakajima published books that focused on evolutionary biology.,FALSE,Haruhi Nakajima (Q11364687)
,Kazuha Kitamura published books that focused on evolutionary biology.,FALSE,Kazuha Kitamura (Q11401931)
,Hajime Yoshii published books that focused on evolutionary biology.,FALSE,Hajime Yoshii (Q11412574)
,Ayumu Yamanoi published books that focused on evolutionary biology.,FALSE,Ayumu Yamanoi (Q11466229)
,Sarasa Kadowaki published books that focused on evolutionary biology.,FALSE,Sarasa Kadowaki (Q11604692)
C7,One can watch Pamiętnik Chrumasa on the television.,TRUE,
,One can watch Yiddishkeit on the television.,TRUE,Yiddishkeit (Q8053532)
,One can watch El Ruso on the television.,TRUE,El Ruso (Q130569711)
,One can watch Petersburgers on the television.,TRUE,Petersburgers (Q117430688)
,One can watch Vityazi on the television.,TRUE,Vityazi (Q124750756)
,One can watch Gangs of Rostov on the television.,TRUE,Gangs of Rostov (Q124750899)
,One can watch Formula mesti on the television.,TRUE,Formula mesti (Q86672416)
,One can watch Hitori ni Shinaide on the television.,TRUE,Hitori ni Shinaide (Q11276347)
,One can watch Check It Out Yo!! in TOKYO on the television.,TRUE,Check It Out Yo!! in TOKYO (Q11317724)
,One can watch The Negotiator on the television.,TRUE,The Negotiator (Q11373958)
,One can watch The newscaster on the television.,TRUE,The newscaster (Q11306642)
C8,Some people study books about Xuanxue.,TRUE,
,Some people study books about post-structuralism.,TRUE,post-structuralism (Q267932)
,Some people study books about Cartesianism.,TRUE,Cartesianism (Q379226)
,Some people study books about hermeticism.,TRUE,hermeticism (Q192933)
,Some people study books about historicism.,TRUE,historicism (Q460501)
,Some people study books about German idealism.,TRUE,German idealism (Q679842)
,Some people study books about Neo-Kantianism.,TRUE,Neo-Kantianism (Q737560)
,Some people study books about logicism.,TRUE,logicism (Q845691)
,Some people study books about Russian cosmism.,TRUE,Russian cosmism (Q1577741)
,Some people study books about posthumanism.,TRUE,posthumanism (Q2119946)
,Some people study books about cyberfeminism.,TRUE,cyberfeminism (Q3008160)
C9,Florencia Labat took a career in acting.,FALSE,
,Rino Furuichi took a career in acting.,FALSE,Rino Furuichi (Q115228030)
,Nana Nagayama took a career in acting.,FALSE,Nana Nagayama (Q11550017)
,Takumi Wada took a career in acting.,FALSE,Takumi Wada (Q1092705)
,Yūya Satō took a career in acting.,FALSE,Yūya Satō (Q60230297)
,Riku Ichikawa took a career in acting.,FALSE,Riku Ichikawa (Q9133421)
,Haruhi Nakajima took a career in acting.,FALSE,Haruhi Nakajima (Q11364687)
,Kazuha Kitamura took a career in acting.,FALSE,Kazuha Kitamura (Q11401931)
,Hajime Yoshii took a career in acting.,FALSE,Hajime Yoshii (Q11412574)
,Ayumu Yamanoi took a career in acting.,FALSE,Ayumu Yamanoi (Q11466229)
,Sarasa Kadowaki took a career in acting.,FALSE,Sarasa Kadowaki (Q11604692)
C10,Gurvansaikhan has many beaches to swim at.,FALSE,
,Kyzyl Kum has many beaches to swim at.,FALSE,Kyzyl Kum (Q184364)
,Zhamankum has many beaches to swim at.,FALSE,Zhamankum (Q594921)
,Taukum has many beaches to swim at.,FALSE,Taukum (Q2379721)
,Aralkum has many beaches to swim at.,FALSE,Aralkum (Q280158)
,Peski Dala has many beaches to swim at.,FALSE,Peski Dala (Q27350910)
,Peski Buyrek has many beaches to swim at.,FALSE,Peski Buyrek (Q27355169)
,Peski Kattakum has many beaches to swim at.,FALSE,Peski Kattakum (Q31986523)
,Peski Taskudyk has many beaches to swim at.,FALSE,Peski Taskudyk (Q31986575)
,Peski Yagzak-Kum has many beaches to swim at.,FALSE,Peski Yagzak-Kum (Q31986590)
,Peski Kimirekkum has many beaches to swim at.,FALSE,Peski Kimirekkum (Q25534467)
C11,Jordan Motor Car Company no longer exists.,TRUE,
,De Woning no longer exists.,TRUE,De Woning (Q124766939)
,Flender Werke no longer exists.,TRUE,Flender Werke (Q320012)
,Adler Werft no longer exists.,TRUE,Adler Werft (Q358236)
,Wilton-Fijenoord no longer exists.,TRUE,Wilton-Fijenoord (Q637673)
,Moss Verft no longer exists.,TRUE,Moss Verft (Q1297442)
,Schlieker-Werft no longer exists.,TRUE,Schlieker-Werft (Q2239672)
,Leolux no longer exists.,TRUE,Leolux (Q2572520)
,Danziger Werft no longer exists.,TRUE,Danziger Werft (Q5221477)
,Finmar-Pemar no longer exists.,TRUE,Finmar-Pemar (Q5403300)
,Kvaerner Govan no longer exists.,TRUE,Kvaerner Govan (Q6449578)
C12,The Laotian Civil War ended before Ahn Jung-hwan's birth.,TRUE,
,The Laotian Civil War ended before Phongchana Kongkirit's birth.,TRUE,Phongchana Kongkirit (Q60675532)
,The Laotian Civil War ended before Jack Krause's birth.,TRUE,Jack Krause (Q61751369)
,The Laotian Civil War ended before Jedsadakorn Kowngam's birth.,TRUE,Jedsadakorn Kowngam (Q61785492)
,The Laotian Civil War ended before Saowalak Pengngam's birth.,TRUE,Saowalak Pengngam (Q64566772)
,The Laotian Civil War ended before Krailas Panyaroj's birth.,TRUE,Krailas Panyaroj (Q65923150)
,The Laotian Civil War ended before Phanuwit Jitsanoh's birth.,TRUE,Phanuwit Jitsanoh (Q65923199)
,The Laotian Civil War ended before Pakkaphon Kanphukde's birth.,TRUE,Pakkaphon Kanphukde (Q87875098)
,The Laotian Civil War ended before Nattapong Peephat's birth.,TRUE,Nattapong Peephat (Q83753539)
,The Laotian Civil War ended before Chainarong Boonkerd's birth.,TRUE,Chainarong Boonkerd (Q85073787)
,The Laotian Civil War ended before Anirut Naiyana's birth.,TRUE,Anirut Naiyana (Q85073831)
C13,Vahdat hall and Roudaki hall are the same thing.,TRUE,
,Gilera CBA and Piaggio Vespa Grande are the same thing.,TRUE,"Gilera CBA (Q3764302), Piaggio Vespa Grande"
,Bifrost and Crazy Canary are the same thing.,TRUE,"Bifrost (Q4904808), Crazy Canary "
,Cazón en adobo and Bienmesabe are the same thing.,TRUE,"Cazón en adobo (Q5759423), Bienmesabe"
,Rebellion in Patagonia and La Patagonia rebelde are the same thing.,TRUE,"Rebellion in Patagonia (Q5981270), La Patagonia rebelde"
,Kunu and kununzaki are the same thing.,TRUE,"Kunu (Q6445113), kununzaki"
,Aslaug and Kraka are the same thing.,TRUE,"Aslaug (Q732678), Kraka"
,Siam Commercial Bank and Ngân hàng Xiêm are the same thing.,TRUE,"Siam Commercial Bank (Q2038986), Ngân hàng Xiêm"
,Namco Pony Super and Baby-Brousse are the same thing.,TRUE,"Namco Pony Super (Q17014907), Baby-Brousse"
,Bund Deutscher Offiziere and League of German Officers are the same thing.,TRUE,"Bund Deutscher Offiziere (Q788726), League of German Officers "
,Dreikönigsgymnasium and Bursa Cucana are the same thing.,TRUE,"Dreikönigsgymnasium (Q1257931), Bursa Cucana "
C14,A boulevard is likely to be found in Aruppukkottai.,TRUE,
,A boulevard is likely to be found in Mahdiyeh.,TRUE,Mehdiyeh (Q3853983)
,A boulevard is likely to be found in Dastna.,TRUE,Dastna (Q4159603)
,A boulevard is likely to be found in Tasuj.,TRUE,Tasuj (Q16901264)
,A boulevard is likely to be found in Yusefabad.,TRUE,Yusefabad (Q16727067)
,A boulevard is likely to be found in Choqab Dar.,TRUE,Choqab Dar (Q3675412)
,A boulevard is likely to be found in Mehrian-e 'Olya.,TRUE,Mehrian-e 'Olya (Q3853990)
,A boulevard is likely to be found in Pordanjan.,TRUE,Pordanjan (Q3908476)
,A boulevard is likely to be found in Oja-Beyt.,TRUE,Oja-Beyt (Q19426702)
,A boulevard is likely to be found in Rūdkhāneh-ye Sefīd.,TRUE,Rūdkhāneh-ye Sefīd (Q117352618)
,A boulevard is likely to be found in Jubba.,TRUE,Jubba (Q5686173)
C15,Sanaa Atabrour has proved that girls are unable to participate in martial arts.,FALSE,
,Mayu Hamada has proved that girls are unable to participate in martial arts.,FALSE,Mayu Hamada (Q440747)
,Ai Yamaji has proved that girls are unable to participate in martial arts.,FALSE,Ai Yamaji (Q18818277)
,Kanako Otsuji has proved that girls are unable to participate in martial arts.,FALSE,Kanako Otsuji (Q456011)
,Erika Kasahara has proved that girls are unable to participate in martial arts.,FALSE,Erika Kasahara (Q463011)
,Yoriko Okamoto has proved that girls are unable to participate in martial arts.,FALSE,Yoriko Okamoto (Q3274285)
,Miyu Yamada has proved that girls are unable to participate in martial arts.,FALSE,Miyu Yamada (Q56435353)
,Ruka Okamoto has proved that girls are unable to participate in martial arts.,FALSE,Ruka Okamoto (Q118978009)
,Minako Hatakeyama has proved that girls are unable to participate in martial arts. ,FALSE,Minako Hatakeyama (Q19950050)
,iho Takahashi has proved that girls are unable to participate in martial arts.,FALSE,iho Takahashi (Q73111897)
,Kiyoko Nagano has proved that girls are unable to participate in martial arts.,FALSE,Kiyoko Nagano (Q61855428)
C16,Anita Reniers plays hockey for the French national team.,FALSE,
,Haby Niaré plays hockey for the French national team.,FALSE,Haby Niaré (Q1567036)
,Maéva Coutant plays hockey for the French national team.,FALSE,Maéva Coutant (Q3303201)
,Gwladys Épangue plays hockey for the French national team.,FALSE,Gwladys Épangue (Q288415)
,Anne-Caroline Graffe plays hockey for the French national team.,FALSE,Anne-Caroline Graffe (Q461506)
,Magda Wiet-Hénin plays hockey for the French national team.,FALSE,Magda Wiet-Hénin (Q19950809)
,Althéa Laurin plays hockey for the French national team.,FALSE,Althéa Laurin (Q77977043)
,Patricia Reynolds plays hockey for the French national team.,FALSE,Patricia Reynolds (Q19061024)
,Mireille Gosselin plays hockey for the French national team.,FALSE,Mireille Gosselin (Q19950007)
,Monique Thènes plays hockey for the French national team.,FALSE,Monique Thènes (Q19950702)
,Audrey Maurice plays hockey for the French national team.,FALSE,Audrey Maurice (Q18924089)
C17,Guido Tarlati released a best-selling song in 2015.,FALSE,
,Mihan Bahrami released a best-selling song in 2015.,FALSE,Mihan Bahrami (Q5821028)
,Fakhri Golestan released a best-selling song in 2015.,FALSE,Fakhri Golestan (Q5945711)
,Guita Garakani released a best-selling song in 2015.,FALSE,Guita Garakani (Q5954890)
,Mahin Oskouei released a best-selling song in 2015.,FALSE,Mahin Oskouei (Q6734016)
,Shahla Lahiji released a best-selling song in 2015.,FALSE,Shahla Lahiji (Q7461810)
,Azita Ghahreman released a best-selling song in 2015.,FALSE,Azita Ghahreman (Q29241)
,Leila Sadeghi released a best-selling song in 2015.,FALSE,Leila Sadeghi (Q6402637)
,Afsoun Afshar released a best-selling song in 2015.,FALSE,Afsoun Afshar (Q5954628)
,Roshanak Dariush released a best-selling song in 2015.,FALSE,Roshanak Dariush (Q5958745)
,Rosa Jamali released a best-selling song in 2015.,FALSE,Rosa Jamali (Q7367062)
C18,Ya'qub ibn al-Layth al-Saffar ruled over Afghanistan during a part of the 9th century.,TRUE,
,Somphien Xayadeth took part in passing rules that governed Laos.,TRUE,Somphien Xayadeth (Q7560521)
,Kook Jong-nam took part in passing rules that governed South Korea during a part of the 2010s.,TRUE,Kook Jong-nam (Q18998566)
,Seo Sam-seok took part in passing rules that governed South Korea during a part of the 2010s.,TRUE,Seo Sam-seok (Q55730831)
,Tʻae-hong Kim took part in passing rules that governed South Korea during a part of the 2000s.,TRUE,Tʻae-hong Kim (Q55728442)
,Kim Jung-ho took part in passing rules that governed South Korea during a part of the 2010s.,TRUE,Kim Jung-ho (Q55728334)
,Jung Pil-mo took part in passing rules that governed South Korea during a part of the 2020s.,TRUE,Jung Pil-mo (Q31177143)
,In-Seon Lee took part in passing rules that governed South Korea during a part of the 2020s.,TRUE,In-Seon Lee (Q31176632)
,Park Sang-cheon took part in passing rules that governed South Korea during a part of the 2000s.,TRUE,Park Sang-cheon (Q12596718)
,Kang Deuk-gu took part in passing rules that governed South Korea during a part of the 2020s.,TRUE,Kang Deuk-gu (Q20651589)
,Sun-hwan Cho took part in passing rules that governed South Korea during a part of the 2000s.,TRUE,Sun-hwan Cho (Q19941136)
C19,Carmelo Buonocore spent most of his career in Milan.,TRUE,
,Farshid Talebi spent most of his career in Isfahan.,TRUE,"Farshid Talebi (Q578573), Isfahan"
,Ebrahim Mirzapour spent most of his career in Ahwaz.,TRUE,"Ebrahim Mirzapour (Q709071), Ahwaz"
,Moharram Navidkia spent most of his career in Isfahan.,TRUE,"Moharram Navidkia (Q726612), Isfahan"
,Mohammad Reza Khalatbari limaki spent most of his career in Isfahan.,TRUE,"Mohammad Reza Khalatbari limaki (Q933222), Isfahan"
,Shervin Radjabali-Fardi spent most of his career in Berlin.,TRUE,"Shervin Radjabali-Fardi (Q481185), Berlin"
,Farzad Majidi spent most of his career in Tehran.,TRUE,"Farzad Majidi (Q769456), Tehran"
,Omid Samkan spent most of his career in Tehran.,TRUE,"Omid Samkan (Q54928163), Tehran"
,Saeid Azizian spent most of his career in Tehran.,TRUE,"Saeid Azizian (Q5882600), Tehran"
,Hassan Shirmohammadi spent most of his career in Tehran.,TRUE,"Hassan Shirmohammadi (Q5679853), Tehran"
,Reza Azari spent most of his career in Tehran.,TRUE,"Reza Azari (Q55807200), Tehran"
C20,Renzo Burini wrote a great number of exceptional poems.,FALSE,
,Haby Niaré wrote a great number of exceptional poems.,FALSE,Haby Niaré (Q1567036)
,Maéva Coutant wrote a great number of exceptional poems.,FALSE,Maéva Coutant (Q3303201)
,Gwladys Épangue wrote a great number of exceptional poems.,FALSE,Gwladys Épangue (Q288415)
,Anne-Caroline Graffe wrote a great number of exceptional poems.,FALSE,Anne-Caroline Graffe (Q461506)
,Magda Wiet-Hénin wrote a great number of exceptional poems.,FALSE,Magda Wiet-Hénin (Q19950809)
,Althéa Laurin wrote a great number of exceptional poems.,FALSE,Althéa Laurin (Q77977043)
,Patricia Reynolds wrote a great number of exceptional poems.,FALSE,Patricia Reynolds (Q19061024)
,Mireille Gosselin wrote a great number of exceptional poems.,FALSE,Mireille Gosselin (Q19950007)
,Monique Thènes wrote a great number of exceptional poems.,FALSE,Monique Thènes (Q19950702)
,Audrey Maurice wrote a great number of exceptional poems.,FALSE,Audrey Maurice (Q18924089)
C21,Giovanni Battista Casti's works may be influenced by Maria Grazia Lenisa's poems.,FALSE,
,Giovanni Battista Casti's works may be influenced by Antonio Porta's poems.,FALSE,Antonio Porta (Q604396)
,Giovanni Battista Casti's works may be influenced by Pier Antonio Quarantotti Gambini's poems.,FALSE,Pier Antonio Quarantotti Gambini (Q751465)
,Giovanni Battista Casti's works may be influenced by Guido Morselli's poems.,FALSE,Guido Morselli (Q940144)
,Giovanni Battista Casti's works may be influenced by Salvatore Toma's poems.,FALSE,Salvatore Toma (Q3946246)
,Giovanni Battista Casti's works may be influenced by Ugo Betti's poems.,FALSE,Ugo Betti (Q919103)
,Giovanni Battista Casti's works may be influenced by Beppe Severgnini's poems.,FALSE,Beppe Severgnini (Q818631)
,Giovanni Battista Casti's works may be influenced by Bruno Lauzi's poems.,FALSE,Bruno Lauzi (Q993477)
,Giovanni Battista Casti's works may be influenced by Renzo Margonari's poems.,FALSE,Renzo Margonari (Q97503677)
,Giovanni Battista Casti's works may be influenced by Claudio Parmiggiani's poems.,FALSE,Claudio Parmiggiani (Q2978548)
,Giovanni Battista Casti's works may be influenced by Franco Vaccari's poems.,FALSE,Franco Vaccari (Q3751647)
C22,It is likely for people to to watch Chez le prof. Pierre in a movie theater.,FALSE,
,It is likely for people to watch GF VIP Party in a movie theater.,FALSE,GF VIP Party (Q107213889)
,It is likely for people to watch Within These Walls in a movie theater.,FALSE,Within These Walls (Q128272)
,It is likely for people to watch Flamingo Road in a movie theater.,FALSE,Flamingo Road (Q383595)
,It is likely for people to watch Search for Tomorrow in a movie theater.,FALSE,Search for Tomorrow (Q588602)
,It is likely for people to watch Secrets of Midland Heights in a movie theater.,FALSE,Secrets of Midland Heights (Q591774)
,It is likely for people to watch EastEnders in a movie theater.,FALSE,EastEnders (Q607514)
,It is likely for people to watch Knots Landing in a movie theater.,FALSE,Knots Landing (Q640535)
,It is likely for people to watch Berlin Bohème in a movie theater.,FALSE,Berlin Bohème (Q821257)
,It is likely for people to watch Another World in a movie theater.,FALSE,Another World (Q1030713)
,It is likely for people to watch Marriage of Inconvenience in a movie theater.,FALSE,Marriage of Inconvenience (Q986574)
C23,William Jaya Kusli practiced Islam fervently and has partaken in various jihads.,FALSE,
,Yisroel Dovid Weiss practiced Islam fervently and has partaken in various jihads.,FALSE,Yisroel Dovid Weiss (Q1837485)
,Sarmad Kashani practiced Islam fervently and has partaken in various jihads.,FALSE,Sarmad Kashani (Q2916030)
,Menahem Shemuel Halevy practiced Islam fervently and has partaken in various jihads.,FALSE,Menahem Shemuel Halevy (Q15983651)
,Uriel Davidi practiced Islam fervently and has partaken in various jihads.,FALSE,Uriel Davidi (Q7900591)
,Habib Elghanian practiced Islam fervently and has partaken in various jihads.,FALSE,Habib Elghanian (Q3490187)
,Benjamin Nahawandi practiced Islam fervently and has part in various jihads.,FALSE,Benjamin Nahawandi (Q282231)
,Yedidia Shofet practiced Islam fervently and has partaken in various jihads.,FALSE,Yedidia Shofet (Q2903425)
,Jack Mahfar practiced Islam fervently and has partaken in various jihads.,FALSE,Jack Mahfar (Q21847033)
,Marjan Faritous practiced Islam fervently and has partaken in various jihads.,FALSE,Marjan Faritous (Q16467612)
,Younes Hamami practiced Islam fervently and has partaken in various jihads.,FALSE,Younes Hamami (Q38285446)
C24,Volker Zotz has a lot of popular songs he sings.,FALSE,
,Babak Alizadeh has a lot of popular songs he sings.,FALSE,Babak Alizadeh (Q112126048)
,Yasin Salmani has a lot of popular songs he sings.,FALSE,Yasin Salmani (Q82046547)
,Aria Barzegar has a lot of popular songs he sings.,FALSE,Aria Barzegar (Q71903618)
,Alireza Monazzemi has a lot of popular songs he sings.,FALSE,Alireza Monazzemi (Q62075812)
,Alireza Khodaei has a lot of popular songs he sings.,FALSE,Alireza Khodaei (Q112323251)
,Ebrahim Zayer Ebrahimi has a lot of popular songs he sings.,FALSE,Ebrahim Zayer Ebrahimi (Q112895237)
,Aria Yousefi has a lot of popular songs he sings.,FALSE,Aria Yousefi (Q109548002)
,Mehmet-Can Aydın has a lot of popular songs he sings.,FALSE,Mehmet-Can Aydın (Q106352999)
,Payam Parsa has a lot of popular songs he sings.,FALSE,Payam Parsa (Q105128832)
,Ahmad Shariatzadeh has a lot of popular songs he sings.,FALSE,Ahmad Shariatzadeh (Q70232462)
C25,Alfons T'Kint played football during his career.,TRUE,
,Reza Karmolachaab played football during his career.,TRUE,Reza Karmolachaab (Q18637544)
,Sina Hatami played football during his career.,TRUE,Sina Hatami (Q118956180)
,Saeid Sadeghi played football during his career.,TRUE,Saeid Sadeghi (Q65195485)
,Mojtaba Bijan played football during his career.,TRUE,Mojtaba Bijan (Q65195060)
,Matin Karimzadeh played football during his career.,TRUE,Matin Karimzadeh (Q79708672)
,Sarawut Yodyinghathaikul played football during his career.,TRUE,Sarawut Yodyinghathaikul (Q83475148)
,Chanatphol Sikkamonthol played football during his career.,TRUE,Chanatphol Sikkamonthol (Q85165748)
,Rachan Prasitthong played football during his career.,TRUE,Rachan Prasitthong (Q85165820)
,Nattawut Chootiwat played football during his career.,TRUE,Nattawut Chootiwat (Q55584700)
,Korraphat Narichan played football during his career.,TRUE,Korraphat Narichan (Q55830108)
C26,Nights grow longer during the season in which Nika Shakarami was born.,TRUE,
,Nights grow longer during the season in which Hans von Andorf was born.,TRUE,Hans von Andorf (Q5650881)
,Nights grow longer during the season in which Roy Batty was born.,TRUE,Roy Batty (Q65929400)
,Nights grow longer during the season in which Lucy Emma Jane Bright was born.,TRUE,Lucy Emma Jane Bright (Q75750551)
,Nights grow longer during the season in which Henryk Kess was born.,TRUE,Henryk Kess (Q109993302)
,Nights grow longer during the season in which Albert van der Kogel was born.,TRUE,Albert van der Kogel (Q109993571)
,Nights grow longer during the season in which Narendra Rao was born.,TRUE,Narendra Rao (Q26254304)
,Nights grow longer during the season in which Metoděj Bakala was born.,TRUE,Metoděj Bakala (Q95453340)
,Nights grow longer during the season in which Ellie Maree Phillips was born.,TRUE,Ellie Maree Phillips (Q75477424)
,Nights grow longer during the season in which Jindra Zöllnerová was born.,TRUE,Jindra Zöllnerová (Q95473286)
,Nights grow longer during the season in which Willem Lesman was born.,TRUE,Willem Lesman (Q110033168)
C27,Pavlo Khazan is a member of the parliament of his homeland country.,TRUE,
,Hüseyin Sırrı Bellioğlu is a member of the parliament of his homeland country.,TRUE,Hüseyin Sırrı Bellioğlu (Q6080184)
,Kim Min-seok is a member of the parliament of his homeland country.,TRUE,Kim Min-seok (Q12587400)
,Kim Ok-ju is a member of the parliament of his homeland country.,TRUE,Kim Ok-ju (Q16176901)
,Lee Hae Chan is a member of the parliament of his homeland country.,TRUE,Lee Hae Chan (Q319920)
,Chung Il-kwon is a member of the parliament of his homeland country.,TRUE,Chung Il-kwon (Q337019)
,Han Seung-soo is a member of the parliament of his homeland country.,TRUE,Han Seung-soo (Q356675)
,Jeong Ju-yung is a member of the parliament of his homeland country.,TRUE,Jeong Ju-yung (Q468467)
,Roh Hoe-chan is a member of the parliament of his homeland country.,TRUE,Roh Hoe-chan (Q482814)
,Kwon Young-ghil is a member of the parliament of his homeland country.,TRUE,Kwon Young-ghil (Q482901)
,Pak Yun-wŏn is a member of the parliament of his homeland country.,TRUE,Pak Yun-wŏn (Q12596983)
C28,Benedetta Maroni is likely to have experienced menopause by the year 2060.,TRUE,
,Kim Min-ji is likely to have experienced menopause by the year 2060.,TRUE,Kim Min-ji (Q126937178)
,Park So-hyun is likely to have experienced menopause by the year 2060.,TRUE,Park So-hyun (Q126006327)
,Kim Ga-eul is likely to have experienced menopause by the year 2060.,TRUE,Kim Ga-eul (Q124155029)
,Kim Chae-won is likely to have experienced menopause by the year 2060.,TRUE,Kim Chae-won (Q127038410)
,Kim Hee-soo is likely to have experienced menopause by the year 2060.,TRUE,Kim Hee-soo (Q113568777)
,Lee Seon-woo is likely to have experienced menopause by the year 2060.,TRUE,Lee Seon-woo (Q112021276)
,Cho Yi-hyun is likely to have experienced menopause by the year 2060.,TRUE,Cho Yi-hyun (Q117434655)
,Park Hye-jeong is likely to have experienced menopause by the year 2060.,TRUE,Park Hye-jeong (Q111969416)
