ID,StrategyQA Question,Answer
S120,Do workers at Nissan's headquarters eat with chopsticks?,TRUE
S121,Is accountant a difficult profession for a person suffering from Dyscalculia?,TRUE
S122,Did Douglas Adams use email as a child?,FALSE
S123,Could the Eiffel Tower be completely submerged at the Arctic Ocean's deepest point?,TRUE
S124,Did Alan Turing suffer the same fate as Abraham Lincoln?,FALSE
S125,Did George Washington drive a Lexus?,FALSE
S126,Did Jackie Kennedy wear Dolce & Gabbana to her husband's inauguration?,FALSE
S127,Was Godfrey of Bouillon an Islamaphobe?,TRUE
S128,Was the Eiffel tower used as a symbol of the French Revolution?,FALSE
S129,Did any citizen of San Antonio vote for Boris Johnson?,FALSE
S130,Can Aerosmith fit in a 2020 Mitsubishi Outlander?,TRUE
S131,Would a CEO typically clean the toilets in a company's building?,FALSE
S132,Does Robert De Niro use a microscope at work?,FALSE
S133,Was Robert Downey Jr. a good role model as a young man?,FALSE
S134,Did Melania Trump have same profession as Olga Kurylenko?,TRUE
S135,Did Francois Mitterrand ever meet Barak Obama while they both held the position of President?,FALSE
S136,Could a monolingual American read Lenovo's native name?,FALSE
S137,Would most grand masters know what the French Defense is?,TRUE
S138,Was dynamite used during Middle Ages warfare?,FALSE
S139,Could Little Women have been a book read by veterans of the civil war?,TRUE
S140,Was Darth Vader monogamous?,TRUE
S141,Would a vegan eat a traditional Paella dish?,FALSE
S142,Can Burundi's communicate with citizens of New Brunswick?,TRUE
S143,Was Amy Winehouse familiar with Brexit?,FALSE
S144,Has the creator of Futurama lived in multiple centuries?,TRUE
S145,Has Alan Greenspan lived through at least a baker's dozen of president's?,TRUE
S146,Was Elizabeth II the Queen during the Persian Gulf War?,TRUE
S147,Was San Antonio the site of a major battle in the 19th century?,TRUE
S148,Did Archduke Franz Ferdinand of Austria participate in the Pacific War?,FALSE
S149,Does Marco Rubio have a close relationship with Allah?,FALSE
S150,Would an adherent of Zoroastrianism consult the Quran for religious guidance?,FALSE
